rain,tmax,tmin,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,SCEC_mean,rain_more_50,maxt_sum2,irrigation,zone,scenario
220,288.75,278.04999999999995,11.9,113.0,33.283333,162.66666666666703,1.54333333333333,1.30666666666667,27.5133333333333,54.0133333333333,6.72,15.7,0,0.0,irrigated,4,T-5%
117,299.34999999999997,286.25,24.3,88.083333,47.733333,162.333333333333,1.39333333333333,2.19333333333333,18.18,55.9933333333333,8.00333333333333,18.7,0,0.0,irrigated,9,T-5%
229,288.15,277.54999999999995,14.0,116.916667,38.916667,137.99999999999997,1.35333333333333,1.38,22.73,42.0533333333333,7.27666666666667,22.3666666666667,0,0.0,irrigated,3,T-5%
389,289.95,284.04999999999995,9.3,107.683333,29.866667,137.666666666667,1.38333333333333,1.33666666666667,29.86,38.6633333333333,6.16333333333333,17.4333333333333,0,0.0,rainfed,6,T+10%
202,287.84999999999997,277.65,12.6,116.333333,34.45,147.66666666666703,1.39333333333333,1.64666666666667,25.1466666666667,46.21,7.54666666666667,18.0666666666667,0,0.0,irrigated,4,T+10%
121,287.95,276.95,13.5,115.383333,37.366667,130.66666666666598,1.46333333333333,1.9,22.4933333333333,38.4166666666667,7.16666666666667,21.1333333333333,0,0.799999999999997,irrigated,4,T-5%
396,295.95,284.15,21.5,115.266667,41.883333,152.666666666667,1.22333333333333,2.85666666666667,21.52,50.08,7.30333333333333,20.7666666666667,1,0.0,rainfed,2,T-10%
250,296.34999999999997,283.65,22.7,93.0,43.6,148.66666666666598,1.30333333333333,1.54,19.4633333333333,48.9933333333333,7.46333333333333,25.7666666666667,0,0.0,irrigated,9,T-5%
167,288.65,278.25,12.9,113.883333,35.316667,136.333333333333,1.41333333333333,1.19,24.2733333333333,40.3466666666667,7.06666666666667,22.1,0,0.0,irrigated,4,T0
192,297.75,285.54999999999995,22.0,122.266667,43.6,126.33333333333302,1.40333333333333,1.14333333333333,17.4066666666667,39.26,7.45666666666667,18.6,0,0.549999999999997,irrigated,1,T+10%
