rain,tmax,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,maxt1,rain1,srad1,maxt2,rain2,srad2,zone,scenario
136,288.15,13.8,116.916667,38.916667,137.99999999999997,1.35333333333333,1.38,22.73,42.0533333333333,7.27666666666667,12.2565853658537,31.4,2388.4,28.2282051282051,80.2,904.2,3,T-5%
387,288.84999999999997,12.0,115.066667,33.4,148.333333333334,1.44333333333333,1.59,27.4733333333333,45.8866666666667,7.07333333333333,12.6564971751412,288.3,1717.9,27.2551020408163,76.6,996.5,4,T+10%
371,288.54999999999995,12.8,115.766667,33.866667,141.33333333333297,1.38333333333333,1.45,24.47,43.2466666666667,7.23666666666667,12.7416216216216,320.2,1939.5,28.0458333333333,72.1,1067.3,4,T+5%
198,286.65,13.1,118.0,36.833333,130.333333333334,1.52333333333333,1.54333333333333,22.6666666666667,38.2033333333333,6.98,10.5891625615764,121.9,2368.9,28.3710526315789,65.0,763.4,4,T+5%
268,287.75,11.9,114.4,33.75,153.66666666666598,1.44333333333333,1.58,28.6666666666667,48.5333333333333,7.36,12.0645161290323,99.8,1902.1,25.4458333333333,168.5,856.3,4,T-10%
79,286.34999999999997,14.7,82.966667,41.716667,144.66666666666697,1.30333333333333,0.636666666666667,24.4266666666667,44.7333333333333,7.86666666666667,10.1971830985915,16.8,2726.8,27.9291666666667,63.1,1131.3,9,T-5%
157,287.65,12.2,113.816667,36.066667,130.0,1.46333333333333,1.63666666666667,22.5933333333333,37.9966666666667,7.02333333333333,12.1853535353535,119.7,2188.7,26.3608695652174,69.5,803.5,4,T+10%
214,287.95,13.2,108.716667,34.4,128.33333333333303,1.37333333333333,0.94,23.0233333333333,37.0433333333333,6.97,11.8942105263158,133.8,2103.1,26.3057692307692,82.2,1064.9,4,T+5%
153,288.34999999999997,12.3,114.516667,37.283333,125.33333333333302,1.50333333333333,2.00333333333333,22.2433333333333,36.09,7.04666666666667,13.2004901960784,65.9,2179.2,28.45,87.4,922.4,4,T+10%
211,292.84999999999997,16.1,102.55,24.35,129.33333333333402,1.30333333333333,1.05666666666667,28.1433333333333,34.28,6.47666666666667,18.230701754386,122.9,1625.2,22.843137254902,56.5,1022.6,6,T-5%
174,287.45,14.1,121.25,37.5,130.666666666667,1.44333333333333,1.48333333333333,20.54,39.6166666666667,6.61333333333333,11.8918660287081,146.4,2574.2,28.1333333333333,27.3,891.6,4,T+10%
131,289.15,12.4,104.683333,31.466667,141.66666666666703,1.42333333333333,0.983333333333333,26.4366666666667,42.52,6.11666666666667,13.2297297297297,82.4,1619.3,23.1875,31.6,753.1,6,T+10%
78,297.15,20.9,104.683333,36.566667,120.99999999999999,1.33333333333333,1.6,17.6066666666667,36.64,7.17,20.3591549295775,22.2,1380.7,27.2981481481481,66.7,1191.1,7,T-5%
252,281.34999999999997,12.5,85.816667,44.283333,153.33333333333297,1.39333333333333,0.726666666666667,21.17,50.4533333333333,7.77666666666667,4.52340425531915,204.3,2358.4,28.6085106382979,53.6,1182.1,9,T-5%
226,288.65,12.3,114.85,34.066667,151.0,1.44333333333333,1.57666666666667,27.4566666666667,47.0933333333333,7.28666666666667,13.5940540540541,121.7,1986.4,25.8365384615385,104.3,970.5,4,T-5%
